Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Maths,Term 2,Tamil,சமபக்கக் குறுங்கோண முக்கோணம்,v),False
Class 6,Maths,Term 2,Tamil,அ),∆ABC,False
Class 6,Maths,Term 2,Tamil,ஆ),∆ABC ∆AEF,False
Class 6,Maths,Term 2,Tamil,அசமபக்க விரிக�ோண முக்கோணம்,vi),False
Class 6,Maths,Term 2,Tamil,"ஆம், அசமபக்க முக்கோணம்",i),False
Class 6,Maths,Term 2,Tamil,இ),"∆AEB, ∆AED, ∆ADF, ∆AFC, ∆ABD, ∆ADC,",False
Class 6,Maths,Term 2,Tamil,"ஆம், அசமபக்க முக்கோணம்",ii),False
Class 6,Maths,Term 2,Tamil,"இல்லை, முக்கோணம் அமைக்க்க இயலலாது",iii),False
Class 6,Maths,Term 2,Tamil,ஈ),"∆ABC, ∆AEF, ∆ABF, ∆AEC",False
Class 6,Maths,Term 2,Tamil,"ஆம், இருசமபக்க முக்கோணம்",iv),False
Class 6,Maths,Term 2,Tamil,உ),"∆AEB, ∆AFC",False
Class 6,Maths,Term 2,Tamil,"ஆம்,சமபக்க முக்கோணம்",v),False
Class 6,Maths,Term 2,Tamil,ஊ),"∆ADB, ∆ADC, ∆ADE, ∆ADF",False
Class 6,Maths,Term 2,Tamil,"இல்லை, முக்கோணம் அமைக்க்க இயலலாது",vi),False
Class 6,Maths,Term 2,Tamil,செ.மீ மற்றும் செ.மீ க்கு இடையில்,i),False
Class 6,Maths,Term 2,Tamil,"ஆம், குறுங்கோண முக்கோணம்",i),False
Class 6,Maths,Term 2,Tamil,செ.மீ மற்றும் செ.மீ க்கு இடையில்,ii),False
Class 6,Maths,Term 2,Tamil,"ஆம், செங்கோண முக்கோணம்",ii),False
Class 6,Maths,Term 2,Tamil,செ.மீ மற்றும் செ.மீ க்கு இடையில்,iii),False
Class 6,Maths,Term 2,Tamil,செ.மீ மற்றும் செ.மீ க்கு இடையில்,iv),False
Class 6,Maths,Term 2,Tamil,"இல்லை, முக்கோணம் அமைக்க்க இயலலாது",iv),False
Class 6,Maths,Term 2,Tamil,"எப்பொழுதும் குறுங்கோணஙகள்,",i.,False
Class 6,Maths,Term 2,Tamil,"ஆம், குறுங்கோண முக்கோணம்",v),False
Class 6,Maths,Term 2,Tamil,குறுங்கோணம் விரிக�ோணம்,ii. iii.,False
Class 6,Maths,Term 2,Tamil,"ஆம், விரிக�ோண முக்கோணம்",vi),False
Class 6,Maths,Term 2,Tamil,விடைக,6th_Maths_Term2_TM_Answers.indd 95,True
Class 6,Maths,Term 2,Tamil,பயிற்சி 5.1,1) (i),True
Class 6,Maths,Term 2,Tamil,பயிற்சி 5.2,(i) p+q (ii) l−m (iii) ab−c (iv) (a+b)−(c+d) (v) (8÷a)+[(b÷4 + 3)],True
Class 6,Maths,Term 2,Tamil,3) சமமில்லை,(iv),True
Class 6,Maths,Term 2,Tamil,ஆறாம் வகுப்பு கணக்கு,6th_Maths_Term2_TM_Answers.indd 96,True
Class 6,Maths,Term 2,Tamil,அசமபக்க முக்ககோணம்,Scalene triangle,True
Class 6,Maths,Term 2,Tamil,செவ்விய எண் நிறைவு எண்,Perfect Number,False
Class 6,Maths,Term 2,Tamil,அடக்க விலை,Cost price,True
Class 6,Maths,Term 2,Tamil,தள்ளுபடி,Discount,True
Class 6,Maths,Term 2,Tamil,அடி,Foot,True
Class 6,Maths,Term 2,Tamil,தன்னைத் தானே சுற்றுவது,Rotate,True
Class 6,Maths,Term 2,Tamil,அணு ககடிகாரம்,Atomic clock,True
Class 6,Maths,Term 2,Tamil,திடட அலகுககள்,Standard Units,True
Class 6,Maths,Term 2,Tamil,அதிககபடச விற்பனை னை விலை,Maximum retail price,True
Class 6,Maths,Term 2,Tamil,திடட அளவைககள்,Standardised measure,True
Class 6,Maths,Term 2,Tamil,அளவைககள்,Measurement,True
Class 6,Maths,Term 2,Tamil,நடடம் / இழப்புத் ெதாகை,Loss,True
Class 6,Maths,Term 2,Tamil,ஆயிரம் ஆண்டுககள்,Millennium,True
Class 6,Maths,Term 2,Tamil,நள்ளிரவு,Midnight,True
Class 6,Maths,Term 2,Tamil,இணக்கமான எண்கள் / நட்பு,Amicable numbers,True
Class 6,Maths,Term 2,Tamil,நிமிட முள்,Minute hand,True
Class 6,Maths,Term 2,Tamil,இணை க�ோடுககள்,Parallel lines,True
Class 6,Maths,Term 2,Tamil,நீர் ககடிகாரம்,Water clock,True
Class 6,Maths,Term 2,Tamil,இயற்கணித க�ோவை,Algebraic expression,True
Class 6,Maths,Term 2,Tamil,நூற்றா ண்டு,Century,True
Class 6,Maths,Term 2,Tamil,இரட்டை எண்,Even number,True
Class 6,Maths,Term 2,Tamil,நேர இடைவெளி,Duration,True
Class 6,Maths,Term 2,Tamil,இரட்டை பகா எண்கள்,Twin primes,True
Class 6,Maths,Term 2,Tamil,ந�ொடிமுள்,Seconds hand,True
Class 6,Maths,Term 2,Tamil,இரயில்வே நேரம்,Railway time,True
Class 6,Maths,Term 2,Tamil,பகா எண்,Prime number,True
Class 6,Maths,Term 2,Tamil,இருசமபக்க முக்ககோணம்,Isosceles triangle,True
Class 6,Maths,Term 2,Tamil,பகு எண்,Composite number,True
Class 6,Maths,Term 2,Tamil,இலக்க முறை ககடிகாரம்,Digital clock,True
Class 6,Maths,Term 2,Tamil,பக்கம்,Side,True
Class 6,Maths,Term 2,Tamil,உச்சி / முனை னை,Vertex,True
Class 6,Maths,Term 2,Tamil,பட்டியல்,Bill,True
Class 6,Maths,Term 2,Tamil,உற்பத்தியாளர்,Manufacturer,True
Class 6,Maths,Term 2,Tamil,புறப்ப்படும் நேரம்,Departure time,True
Class 6,Maths,Term 2,Tamil,ஊசல் ககடிகாரம்,Pendulum clock,True
Class 6,Maths,Term 2,Tamil,பிற்பகல்,Post meridiam,True
Class 6,Maths,Term 2,Tamil,எண்கணித க�ோவை,Numerical expression,True
Class 6,Maths,Term 2,Tamil,மடங்கு,Multiple,True
Class 6,Maths,Term 2,Tamil,ஒளியாண்டு,Light year,True
Class 6,Maths,Term 2,Tamil,மணற்கடிகாரம்,Sand clock,True
Class 6,Maths,Term 2,Tamil,ஒற்றை எண்,Odd number,True
