Class,Subject,Term,Medium,Tamil_Term,English_Term
Class 7,Maths,Term 2,English,தசமப் புள்ளி,Decimal point
Class 7,Maths,Term 2,English,படி,Degree
Class 7,Maths,Term 2,English,விட்டம்,Diameter
Class 7,Maths,Term 2,English,"அடுக்குக் குறி, படிக் குறி",Exponent
Class 7,Maths,Term 2,English,அடுக்கு எண்,Exponent number
Class 7,Maths,Term 2,English,அடுக்கு வடிவம்,Exponential form
Class 7,Maths,Term 2,English,வெளிக்கோணம்,Exterior angle
Class 7,Maths,Term 2,English,வேலியிடுதல்,Fencing
Class 7,Maths,Term 2,English,நூறில் ஒன்று,Hundredth
Class 7,Maths,Term 2,English,ரணம்,Hypotenuseகக
Class 7,Maths,Term 2,English,முழு எண் பகுதி,Integral part
Class 7,Maths,Term 2,English,உள்ளெ,angle
Class 7,Maths,Term 2,English,திர் க�ோணம்,Leading Coefficient
Class 7,Maths,Term 2,English,தலையாயக் கெழு,Notation
